Serial no,Asset tag,Brand,Category,Area,Vintage,Description,comment,Last service date,Model no,Fc no,Upcoming service date
440268,ZCPL-ASSET-1,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
157278,ZCPL-ASSET-2,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
440241,ZCPL-ASSET-3,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
157355,ZCPL-ASSET-4,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
443549,ZCPL-ASSET-5,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
440236,ZCPL-ASSET-6,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
440112,ZCPL-ASSET-7,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X4.5BERD-S48B,969,
14500701,ZCPL-ASSET-8,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A13X6.3BMD-DSD,969,
45706307,ZCPL-ASSET-9,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A17X9BRM-SD,969,
13504601,ZCPL-ASSET-10,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A20X8.6BERM-SD,969,
13001920,ZCPL-ASSET-11,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A20X8.6BERM-SD,969,
383471,ZCPL-ASSET-12,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
383480,ZCPL-ASSET-13,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381608,ZCPL-ASSET-14,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
380283,ZCPL-ASSET-15,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381561,ZCPL-ASSET-16,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381620,ZCPL-ASSET-17,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381542,ZCPL-ASSET-18,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381602,ZCPL-ASSET-19,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
381529,ZCPL-ASSET-20,FUJINON,EFP LENS,STORE-3 H1,0,STANDARD ENG LENS WITH FRONT & BACK CAP,,,A22X7.8BERD-S48B,969,
NSN,ZCPL-ASSET-21,FUJINON,SERVO KIT,STORE-3 H1,0,FOCUS DEMAND,,,CFH-3,969,
221260AQ,ZCPL-ASSET-22,CANON,LENS 100,AC WH-1 FLOOR,0,STUDIO/OB LENS,,,XJ100X9.3B,28,
00048,ZCPL-ASSET-23,NETWORK,ROUTER PANEL,RACK 26A,0,NETWORK ROUTER PANEL ,,,MEDIA8,612,
01555,ZCPL-ASSET-24,VINTEN,TRIPOD,RACK 35C,0,HDT HEAD WITH 2 PANBARS & 1 EXTN. ARM,,,VECTOR-750,1317,
